time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-05-29T15:02:30.096Z,-31.6907,-66.8113,126.78,4.9,mb,85,28,1.604,0.78,us,us7000k4sd,2023-06-05T16:43:45.040Z,"101 km WNW of Candelaria, Argentina",earthquake,7.4,4.599,0.076,54,reviewed,us,us
2023-05-29T04:57:33.602Z,-7.9935,-74.5543,154.032,5.1,mww,264,51,1.851,0.71,us,us7000k4qj,2023-06-22T02:24:18.771Z,"42 km N of Pucallpa, Peru",earthquake,6.8,4.574,0.089,12,reviewed,us,us
2023-05-29T02:41:26.215Z,-24.1784,-66.9261,200.58,4,mb,24,89,1.677,0.62,us,us7000k4q1,2023-06-21T18:39:28.040Z,"61 km W of San Antonio de los Cobres, Argentina",earthquake,10.21,12.775,0.196,7,reviewed,us,us
2023-05-29T00:02:53.027Z,7.0417,-76.1407,70.346,4.3,mb,21,118,2.835,0.35,us,us7000k4pl,2023-05-29T03:54:42.040Z,"",earthquake,8.04,12.321,0.178,9,reviewed,us,us
2023-05-28T19:08:21.236Z,-15.8145,-72.0539,10,4.9,mb,96,99,3.024,0.73,us,us7000k4nj,2023-06-03T16:52:56.040Z,"10 km SSE of Huambo, Peru",earthquake,9.44,1.807,0.061,84,reviewed,us,us
2023-05-28T15:45:57.185Z,6.6964,-73.0303,163.809,5.2,mww,90,39,0.8,0.7,us,us7000k4mu,2023-06-23T14:42:48.234Z,"1 km W of Aratoca, Colombia",earthquake,6.77,4.44,0.049,40,reviewed,us,us
2023-05-28T02:06:18.838Z,-23.4112,-70.075,36.184,4.5,mwr,54,111,0.841,0.68,us,us7000k4jl,2023-06-22T22:42:02.040Z,"42 km NE of Antofagasta, Chile",earthquake,4.46,5.276,,,reviewed,us,guc
2023-05-27T16:50:40.337Z,-45.5682,-77.1083,10,4.6,mb,24,108,2.57,1.07,us,us7000k4hu,2023-06-12T13:06:41.040Z,"Off the coast of Aisen, Chile",earthquake,7.93,1.88,0.181,9,reviewed,us,us
2023-05-27T07:45:15.444Z,-24.0318,-67.006,212.128,4,mb,16,89,1.521,0.48,us,us7000k4fe,2023-06-08T05:54:19.040Z,"72 km WNW of San Antonio de los Cobres, Argentina",earthquake,11.56,12.514,0.259,4,reviewed,us,us
2023-05-27T06:01:11.791Z,9.2536,-75.3378,40.747,4.5,mb,41,143,0.658,0.48,us,us7000k4ez,2023-06-08T05:40:59.040Z,"8 km SW of Corozal, Colombia",earthquake,8.93,8.463,0.095,32,reviewed,us,us
2023-05-27T00:56:36.536Z,5.7849,-79.7163,10,4.4,mb,44,137,4.198,0.62,us,us7000k4dp,2023-06-10T02:55:10.040Z,"184 km SSE of Cambutal, Panama",earthquake,8.48,1.936,0.095,32,reviewed,us,us
2023-05-26T13:42:32.428Z,-18.7307,-66.9167,256.602,4.9,mb,60,54,2.346,0.99,us,us7000k47a,2023-06-06T10:25:03.040Z,"24 km NW of Challapata, Bolivia",earthquake,7.72,6.775,0.025,500,reviewed,us,us
2023-05-25T20:20:11.411Z,-17.6963,-69.8612,126.637,4.4,mb,36,119,0.379,0.86,us,us7000k42y,2023-05-31T21:14:13.040Z,"13 km NE of Palca, Peru",earthquake,6.07,5.522,0.12,20,reviewed,us,us
2023-05-25T11:36:14.215Z,7.8657,-80.897,10,4.4,mb,45,65,1.998,1.16,us,us7000k3vs,2023-06-01T09:51:30.305Z,"5 km NNE of Limón de Tijeras, Panama",earthquake,5.22,1.72,0.17,10,reviewed,us,us
2023-05-25T09:02:01.205Z,8.9381,-77.1803,10,4.5,mb,55,47,2.192,1.14,us,us7000k3ph,2023-06-22T06:31:49.040Z,"Panama-Colombia border region",earthquake,5.29,1.856,0.068,63,reviewed,us,us
2023-05-25T08:47:19.531Z,8.7742,-77.1783,10,4.5,mb,67,70,2.266,0.6,us,us7000k3pe,2023-06-18T07:57:57.040Z,"29 km ENE of Puerto Obaldía, Panama",earthquake,6.95,1.889,0.073,55,reviewed,us,us
2023-05-25T07:35:13.141Z,8.9039,-77.1261,10,4.5,mb,29,73,2.159,0.7,us,us7000k3pa,2023-06-18T07:30:36.721Z,"41 km NE of Puerto Obaldía, Panama",earthquake,5.23,1.977,0.191,9,reviewed,us,us
2023-05-25T06:48:30.564Z,8.9041,-77.1125,10,4.6,mb,36,77,2.147,0.46,us,us7000k3p5,2023-06-18T06:18:20.040Z,"42 km NE of Puerto Obaldía, Panama",earthquake,7.3,1.955,0.181,9,reviewed,us,us
2023-05-25T03:14:56.885Z,8.8411,-77.0924,10,5,mb,50,76,2.16,0.71,us,us7000k3n8,2023-06-22T04:50:01.040Z,"40 km ENE of Puerto Obaldía, Panama",earthquake,5.13,1.678,0.085,44,reviewed,us,us
2023-05-25T03:05:32.956Z,8.9223,-77.0904,13,6.5,mww,113,87,2.12,0.62,us,us7000k3n3,2023-06-22T04:53:28.605Z,"45 km NE of Puerto Obaldía, Panama",earthquake,6.62,1.815,0.044,49,reviewed,us,us
2023-05-25T02:22:00.378Z,-19.6773,-69.2534,10,4.1,mb,16,116,0.056,0.83,us,us7000k3mx,2023-06-22T04:26:10.040Z,"44 km SSE of Camiña, Chile",earthquake,3.81,1.833,0.262,4,reviewed,us,us
2023-05-25T00:59:38.354Z,-21.8753,-68.6068,133.74,4,mb,17,76,1.078,0.64,us,us7000k3ml,2023-06-21T03:24:00.040Z,"",earthquake,6.11,8.491,0.196,7,reviewed,us,us
2023-05-25T00:03:07.897Z,-24.2695,-67.1264,177.946,4.3,mb,21,89,1.628,0.61,us,us7000k3m7,2023-06-21T02:30:01.040Z,"",earthquake,11.45,12.82,0.187,8,reviewed,us,us
2023-05-24T18:38:38.214Z,-13.4066,-74.5389,87.531,4.5,mb,40,80,2.654,0.96,us,us7000k3kn,2023-05-31T19:31:49.040Z,"22 km N of Vilcanchos, Peru",earthquake,9.82,1.977,0.132,17,reviewed,us,us
2023-05-24T18:28:55.846Z,-38.3835,-75.3185,9.758,4.4,mb,54,147,2.098,0.66,us,us7000k3kk,2023-06-21T21:26:13.040Z,"169 km WSW of Lebu, Chile",earthquake,8.19,4.057,0.144,14,reviewed,us,us
