Year,Disaster Subtype,ISO,Location,Dis Mag Value,Latitude,Longitude,Local Time,date,End date,Total Deaths,Total Affected,Total Damages US$(2021)
1974,Ground movement,COL,"Bogota, Cali, Pereira",7.0,7.747,-77.688,20:18,1974-07-12,1974-07-12,11.0,,
2016,Ground movement,USA,Cushing (Oklahoma),5.0,35.991,-96.803,,2016-11-07,2016-11-07,,120.0,24387.0
2019,Ground movement,USA,Ridgecrest (Califronia),7.0,35.77,-117.599,20:19,2019-07-05,2019-07-05,,150.0,228943.0
1905,Ground movement,JPN,Aki,8.0,34,132,14:39,1905-06-02,1905-06-02,11.0,177.0,
1909,Ground movement,JPN,Oomi,7.0,35.4,136.3,15:30,1909-08-14,1909-08-14,41.0,2928.0,
1911,Ground movement,JPN,Ryukyu Islands,8.0,28,130,23:26,1911-06-15,1911-06-15,12.0,1266.0,
1922,Ground movement,JPN,Kyushu,,32.7,130.3,,1922-12-08,1922-12-08,27.0,,
1925,Ground movement,JPN,Tajima (Honshu),7.0,35.423,135.007,11:09,1925-05-23,1925-05-23,395.0,9999.0,
1939,Ground movement,JPN,Honshu,7.0,39.945,139.682,14:58,1939-05-01,1939-05-01,27.0,1489.0,
1952,Ground movement,JPN,Hokkaido,7.0,41.831,143.525,02:03,1952-03-10,1952-03-10,,356.0,
1961,Ground movement,JPN,Honshu,7.0,36,136.7,14:33,1961-08-19,1961-08-19,10.0,,
1973,Ground movement,JPN,Hokkaido Isl.,8.0,43.233,145.785,12:55,1973-06-17,1973-06-17,,27.0,32957.0
2021,Ground movement,JPN,Namie region,7.0,37.745,141.749,23:07,2021-02-13,2021-02-13,1.0,7892.0,8316216.0
2021,Ground movement,JPN,Honshu Island,7.0,38.475,141.633,18:09,2021-03-20,2021-03-20,,611.0,594015.0
2022,Ground movement,JPN,Fukushima Prefecture,7.0,37.702,141.587,23:36,2022-03-16,2022-03-16,3.0,741.0,8800000.0
1973,Ground movement,USA,Oxnard (California),6.0,34.1,-119,06:45,1973-02-21,1973-02-21,,,6591.0
1973,Ground movement,USA,Hilo (Hawai),7.0,19.936,-155.098,10:26,1973-04-26,1973-04-26,,11.0,37900.0
1975,Ground movement,USA,Pocatello valley (Idaho),6.0,42.06,-122.55,20:31,1975-03-27,1975-03-27,,1560.0,5438.0
2022,Ground movement,USA,Humboldt County (California),6.0,40.525,124.423,02:34,2022-12-20,2022-12-20,2.0,12.0,250000.0
2023,Ground movement,JPN,Ishikawa,6.0,,,14:42,2023-05-06,2023-05-06,1.0,1084.0,
